Date,Open,High,Low
2000-01-04,289.5,289.5,280.0
2000-01-05,283.7,285.0,281.0
2000-01-06,281.6,282.8,280.2
2000-01-07,282.5,284.5,282.0
2000-01-10,282.4,283.9,281.8
2000-01-11,282.4,285.3,281.9
2000-01-12,284.5,285.0,282.5
2000-01-13,283.5,285.9,282.9
2000-01-14,285.2,285.6,284.0
2000-01-18,286.1,289.8,285.9
2000-01-19,289.6,291.0,287.5
2000-01-20,290.3,290.7,288.4
2000-01-21,289.0,290.3,287.4
2000-01-24,289.7,289.7,286.3
2000-01-25,288.0,291.8,286.6
2000-01-26,286.8,287.5,284.7
2000-01-27,286.2,287.5,285.6
2000-01-28,289.6,290.7,283.0
2000-01-31,286.0,287.4,284.9
2000-02-01,286.0,286.5,285.0
2000-02-02,285.4,289.2,285.3
2000-02-03,287.7,290.9,287.0
2000-02-04,290.2,318.5,289.9
2000-02-07,318.0,326.9,302.0
2000-02-08,306.0,308.0,298.5
2000-02-09,301.7,314.0,301.7
2000-02-10,308.5,319.0,308.5
2000-02-11,318.3,320.4,311.0
2000-02-14,313.6,313.6,308.3
2000-02-15,310.7,311.5,303.8
2000-02-16,304.2,306.0,299.7
2000-02-17,305.3,312.5,300.0
2000-02-18,303.3,307.8,302.0
2000-02-22,307.6,309.4,304.2
2000-02-23,307.7,308.2,302.3
2000-02-24,302.4,303.5,300.2
2000-02-25,300.9,301.2,293.5
2000-02-28,294.5,295.4,293.1
2000-02-29,293.8,296.5,293.5
2000-03-01,294.2,296.2,292.8
2000-03-02,292.9,293.3,289.4
2000-03-03,289.7,292.2,289.2
2000-03-06,290.6,291.7,289.2
2000-03-07,289.5,295.4,289.4
2000-03-08,293.8,295.0,289.8
2000-03-09,290.0,293.0,289.6
2000-03-10,292.7,294.0,289.4
2000-03-13,290.0,292.9,290.0
2000-03-14,291.7,292.6,289.2
2000-03-15,289.6,291.0,289.3
2000-03-16,289.9,290.4,286.3
2000-03-17,286.8,287.0,283.6
2000-03-20,285.0,286.9,284.5
2000-03-21,286.5,292.0,284.2
2000-03-22,290.4,291.1,288.1
2000-03-23,288.4,288.6,283.8
2000-03-24,285.6,286.1,284.6
2000-03-27,285.4,285.4,280.2
2000-03-28,280.8,281.8,279.4
2000-03-29,279.5,280.2,274.8
2000-03-30,279.0,280.2,277.9
2000-03-31,279.6,283.0,277.5
2000-04-03,281.5,282.0,279.7
2000-04-04,280.7,291.5,278.4
2000-04-05,286.7,287.1,283.2
2000-04-06,283.8,284.3,281.3
2000-04-07,283.0,283.6,281.9
2000-04-10,281.8,285.0,281.5
2000-04-11,284.3,286.0,283.1
2000-04-12,283.5,285.7,281.5
2000-04-13,283.5,284.8,282.0
2000-04-14,283.4,288.5,282.5
2000-04-17,285.1,287.5,282.8
2000-04-18,284.0,284.8,282.4
2000-04-19,283.0,283.9,282.0
2000-04-20,282.4,283.0,280.5
2000-04-24,281.5,282.9,280.9
2000-04-25,281.0,282.0,279.5
2000-04-26,280.0,280.1,276.4
2000-04-27,277.3,279.1,276.8
2000-04-28,278.2,279.0,274.0
2000-05-01,274.8,276.1,273.6
2000-05-02,275.1,277.9,274.7
2000-05-03,277.2,279.4,276.6
2000-05-04,280.0,284.0,278.1
2000-05-05,282.0,283.8,278.5
2000-05-08,279.8,279.8,277.3
2000-05-09,278.0,278.9,276.7
2000-05-10,278.4,280.0,277.9
2000-05-11,278.7,279.3,276.1
2000-05-12,276.8,277.9,276.5
2000-05-15,277.2,277.8,274.8
2000-05-16,276.8,278.0,275.7
2000-05-17,276.1,276.2,272.7
2000-05-18,273.8,274.8,272.1
2000-05-19,274.4,274.9,273.3
2000-05-22,274.3,277.5,274.0
2000-05-23,276.2,277.2,273.8
2000-05-24,275.0,275.0,273.2
2000-05-25,273.8,275.0,269.5
2000-05-26,270.7,273.3,270.1
2000-05-30,275.1,277.2,275.0
2000-05-31,275.6,275.9,274.5
2000-06-01,275.4,276.4,274.8
